time,station,erdmin,nied,neuschnee,t,tmin,substation
2016-01-01T00:00+00:00,66,-5.4,0.1,1.0,-1.8,-4.8,17301
2016-01-02T00:00+00:00,66,-7.8,8.8,-1.0,-1.2,-5.0,17301
2016-01-03T00:00+00:00,66,-4.0,0.3,8.0,-4.0,-6.8,17301
2016-01-04T00:00+00:00,66,-7.3,1.4,1.0,-3.7,-6.4,17301
2016-01-05T00:00+00:00,66,-10.9,1.0,3.0,-5.9,-8.8,17301
2016-01-06T00:00+00:00,66,-11.6,-1.0,3.0,-6.2,-9.5,17301
2016-01-07T00:00+00:00,66,-10.4,2.5,-1.0,-5.6,-8.8,17301
2016-01-08T00:00+00:00,66,-9.1,0.0,5.0,-3.6,-6.8,17301
2016-01-09T00:00+00:00,66,-3.9,7.2,-1.0,0.5,-2.7,17301
2016-01-10T00:00+00:00,66,-6.2,0.0,13.0,-1.1,-4.7,17301
2016-01-11T00:00+00:00,66,-1.8,9.8,0.0,0.4,-3.0,17301
2016-01-12T00:00+00:00,66,-6.7,3.4,10.0,-4.7,-6.4,17301
2016-01-13T00:00+00:00,66,-9.0,1.9,5.0,-6.9,-8.0,17301
2016-01-14T00:00+00:00,66,-14.0,1.3,3.0,-8.9,-12.4,17301
2016-01-15T00:00+00:00,66,-10.0,0.7,4.0,-9.1,-11.7,17301
2016-01-16T00:00+00:00,66,-13.9,3.4,4.0,-11.1,-12.7,17301
2016-01-17T00:00+00:00,66,-12.6,3.5,4.0,-12.2,-13.7,17301
2016-01-18T00:00+00:00,66,-22.3,-1.0,5.0,-14.1,-19.8,17301
2016-01-19T00:00+00:00,66,-17.2,0.2,-1.0,-9.2,-14.3,17301
2016-01-20T00:00+00:00,66,-8.8,0.6,2.0,-6.4,-9.3,17301
2016-01-21T00:00+00:00,66,-13.8,-1.0,1.0,-7.9,-11.8,17301
2016-01-22T00:00+00:00,66,-14.2,0.0,-1.0,-6.0,-11.2,17301
2016-01-23T00:00+00:00,66,-8.6,1.8,-1.0,-3.9,-6.4,17301
2016-01-24T00:00+00:00,66,-11.7,-1.0,3.0,-3.0,-9.5,17301
2016-01-25T00:00+00:00,66,-4.1,-1.0,-1.0,2.8,-2.4,17301
2016-01-26T00:00+00:00,66,-1.6,-1.0,-1.0,3.9,0.2,17301
2016-01-27T00:00+00:00,66,-3.0,-1.0,-1.0,3.7,-0.9,17301
2016-01-28T00:00+00:00,66,-3.6,-1.0,-1.0,3.0,-1.4,17301
2016-01-29T00:00+00:00,66,-3.3,0.0,-1.0,1.5,-1.9,17301
2016-01-30T00:00+00:00,66,-6.2,2.7,-1.0,0.1,-3.5,17301
2016-01-31T00:00+00:00,66,-2.7,21.2,4.0,-1.3,-2.5,17301
2016-02-01T00:00+00:00,66,-0.3,0.0,14.0,3.3,0.0,17301
2016-02-02T00:00+00:00,66,1.8,-1.0,-1.0,6.7,4.0,17301
2016-02-03T00:00+00:00,66,-3.9,4.8,-1.0,-0.3,-5.7,17301
2016-02-04T00:00+00:00,66,-9.0,12.3,3.0,-6.7,-9.0,17301
2016-02-05T00:00+00:00,66,-6.7,0.4,17.0,-3.7,-6.7,17301
2016-02-06T00:00+00:00,66,-6.2,-1.0,1.0,0.2,-4.7,17301
2016-02-07T00:00+00:00,66,-7.7,2.7,-1.0,-1.8,-5.8,17301
2016-02-08T00:00+00:00,66,-5.2,-1.0,3.0,-0.4,-4.2,17301
2016-02-09T00:00+00:00,66,-6.1,6.3,-1.0,-0.6,-4.1,17301
2016-02-10T00:00+00:00,66,-8.1,0.7,6.0,-3.8,-9.1,17301
2016-02-11T00:00+00:00,66,-15.6,-1.0,1.0,-8.1,-13.1,17301
2016-02-12T00:00+00:00,66,-13.1,1.3,-1.0,-6.9,-11.2,17301
