taxon;plot_ID;genus;species;cover;height;author;remark
Luzula spicata;5-1-A-C;luz;spi;1a;2;SD;
Poa alpina;5-1-A-C;poa;alp;+;1;SD;
Poa laxa;5-1-A-C;poa;lax;+;1;SD;
Saxifraga bryoides;5-1-A-C;sax;bry;2b;1;SD;
Primula glutinosa;5-1-A-C;pri;glu;1a;2;SD;
Ranunculus glacialis;5-1-A-C;ran;gla;1a;1;SD;
Gentiana bavarica;5-1-A-C;gen;bav;+;1;SD;
Minuartia sedoides;5-1-A-C;min;sed;+;1;SD;
Leucanthemopsis alpina;5-1-A-C;leu;alp;1a;1;SD;
Euphrasia minima;5-1-A-C;eup;min;+;1;SD;
Cerastium uniflorum;5-1-A-C;cer;uni;+;1;SD;
Gnaphalium supinum;5-1-A-C;gna;sup;+;1;SD;
Oreochloa disticha;5-1-A-M;ore;dis;+;4;SD;
Agrostis rupestris;5-1-A-M;agr;rup;+;3;SD;
Poa alpina;5-1-A-M;poa;alp;r;1;SD;
Trisetum spicatum;5-1-A-M;tri;spi;+;3;SD;
Salix herbacea;5-1-A-M;sal;her;2a;1;SD;
Primula glutinosa;5-1-A-M;pri;glu;+;2;SD;
Euphrasia minima;5-1-A-M;eup;min;+;1;SD;
Saxifraga bryoides;5-1-A-M;sax;bry;2a;1;SD;
Minuartia sedoides;5-1-A-M;min;sed;1b;1;SD;
Phyteuma hemisphaericum;5-1-A-M;phy;hem;+;1;SD;
Sagina saginoides;5-1-A-M;sag;sag;+;1;SD;
Luzula spicata;5-1-A-M;luz;spi;+;1;SD;
Luzula spicata;5-1-B-C;luz;spi;1a;1;SD;
Oreochloa disticha;5-1-B-C;ore;dis;+;3;SD;
Saxifraga bryoides;5-1-B-C;sax;bry;2a;1;SD;
Primula glutinosa;5-1-B-C;pri;glu;+;2;SD;
Gentiana bavarica;5-1-B-C;gen;bav;+;1;SD;
Leucanthemopsis alpina;5-1-B-C;leu;alp;1a;1;SD;
Minuartia sedoides;5-1-B-C;min;sed;2a;1;SD;
Gnaphalium supinum;5-1-B-C;gna;sup;+;1;SD;
Cerastium uniflorum;5-1-B-C;cer;uni;1a;1;SD;
Sedum alpestre;5-1-B-C;sed;alp;1a;1;SD;
Euphrasia minima;5-1-B-C;eup;min;+;1;SD;
Ranunculus glacialis;5-1-B-C;ran;gla;1a;1;SD;
Sagina saginoides;5-1-B-C;sag;sag;+;1;SD;
Veronica alpina;5-1-B-C;ver;alp;+;1;SD;
Oreochloa disticha;5-1-B-M;ore;dis;+;3;SD;
