logger_ID;TAXON;GENUS;SPECIES;COVER;NOTES;AUTHOR
1;Agrostis agrostiflora;agr;agr;1;;KC
1;Alchemilla vulgaris agg.;alc;vul;+;;KC
1;Anthoxanthum alpinum;ant;alp;1;;KC
1;Avenula versicolor;ave;ver;+;;KC
1;Campanula scheuchzeri;cam;sch;r;;KC
1;Festuca nigricans;fes;nig;1;;KC
1;Gentiana punctata;gen;pun;1;;KC
1;Geranium sylvaticum;ger;syl;1;;KC
1;Geum montanum;geu;mon;1;;KC
1;Homogyne alpina;hom;alp;+;;KC
1;Leontodon hispidus;leo;his;+;;KC
1;Luzula alpino-pilosa;luz;alp1;+;;KC
1;Persicaria vivipara;per;viv;r;;KC
1;Potentilla aurea;pot;aur;+;;KC
1;Ranunculus villarsii;ran;vil;+;;KC
1;Rhododendron ferrugineum;rho;fer;3;;KC
1;Salix helvetica;sal;hel;1;;KC
1;Scorzoneroides helvetica;sco;hel;1;;KC
1;Silene vulgaris;sil;vul;+;;KC
1;Solidago virgaurea subsp. minuta;sol;vir;2b;;KC
1;Thesium alpinum;the;alp;+;;KC
1;Vaccinium gaultherioides;vac;gau;2a;;KC
1;Vaccinium myrtillus;vac;myr;1;;KC
1;Viola biflora;vio;bif;1;;KC
3;Avenula versicolor;ave;ver;+;;KC
3;Carex curvula subsp. curvula;car;cur;+;;KC
3;Cerastium uniflorum;cer;uni;+;;KC
3;Festuca halleri agg.;fes;hal;+;;KC
3;Leucanthemopsis alpina;leu;alp;+;;KC
3;Luzula spicata;luz;spi;+;cf;KC
3;Minuartia sedoides;min;sed;+;;KC
3;Oreochloa disticha;ore;dis;2a;;KC
3;Pedicularis aspleniifolia;ped;asp;+;originally P. kerneri;KC
3;Primula glutinosa;pri;glu;+;;KC
3;Saxifraga bryoides;sax;bry;2a;;KC
3;Sedum alpestre;sed;alp;+;;KC
3;Silene acaulis subsp. exscapa;sil;aca;1;;KC
3;Veronica alpina;ver;alp;+;;KC
4;Agrostis rupestris;agr;rup;+;;NH
4;Campanula scheuchzeri;cam;sch;r;;NH
4;Cardamine resedifolia;car;res;r;;NH
4;Gnaphalium supinum;gna;sup;+;;NH
4;Poa alpina;poa;alp;+;;NH
4;Poa laxa;poa;lax;+;;NH
4;Salix herbacea;sal;her;+;;NH
4;Saxifraga bryoides;sax;bry;+;;NH
4;Sedum alpestre;sed;alp;r;;NH
5;Androsace alpina;and;alp;r;;NH
5;Anthoxanthum alpinum;ant;alp;r;;NH
5;Cerastium uniflorum;cer;uni;2b;;NH
5;Erigeron uniflorus;eri;uni;+;;NH
5;Gentiana bavarica;gen;bav;+;;NH
5;Gnaphalium supinum;gna;sup;+;;NH
5;Luzula spicata;luz;spi;r;;NH
5;Poa laxa;poa;lax;+;;NH
5;Ranunculus glacialis;ran;gla;+;;NH
5;Sagina saginoides;sag;sag;+;;NH
5;Saxifraga bryoides;sax;bry;2a;;NH
5;Saxifraga exarata;sax;exa;+;;NH
5;Saxifraga seguieri;sax;seg;+;;NH
5;Silene acaulis subsp. exscapa;sil;aca;+;;NH
5;Veronica alpina;ver;alp;+;;NH
7;Agrostis rupestris;agr;rup;1;;NH
7;Avenula versicolor;ave;ver;+;;NH
7;Carex curvula subsp. curvula;car;cur;1;;NH
7;Cerastium uniflorum;cer;uni;r;;NH
7;Deschampsia cespitosa subsp. cespitosa;des;ces;+;;NH
7;Gnaphalium supinum;gna;sup;1;;NH
7;Leucanthemopsis alpina;leu;alp;1;;NH
7;Luzula alpino-pilosa;luz;alp1;1;;NH
7;Minuartia sedoides;min;sed;r;;NH
7;Oreochloa disticha;ore;dis;r;;NH
